"Scientific_Name_BD","Common_Name_BD","Scientific_Name_ALA","Common_Name_ALA","Match_Type"
"Egretta garzetta","Little Egret","Egretta garzetta","Little Egret","Exact - Scientific Name"
"Egretta sacra","Eastern Reef Egret","Egretta sacra","Eastern Reef Egret","Exact - Scientific Name"
"Pandion haliaetus","Osprey","Pandion haliaetus","Osprey","Exact - Scientific Name"
"Cincloramphus timoriensis","Tawny Grassbird","Cincloramphus timoriensis","Tawny Grassbird","Exact - Scientific Name"
"Dendrocygna eytoni","Plumed Whistling-Duck","Dendrocygna eytoni","Plumed Whistling-duck","Exact - Scientific Name"
"Dendrocygna arcuata","Wandering Whistling-Duck","Dendrocygna arcuata","Wandering Whistling-duck","Exact - Scientific Name"
"Synoicus chinensis","King Quail","Synoicus chinensis","King Quail","Exact - Scientific Name"
"Ptilinopus superbus","Superb Fruit-Dove","Ptilinopus superbus","Superb Fruit-dove","Exact - Scientific Name"
"Zapornia pusilla","Baillon's Crake","Zapornia pusilla","Baillon's Crake","Exact - Scientific Name"
"Tribonyx ventralis","Black-tailed Native-hen","Tribonyx ventralis","Black-tailed Native-hen","Exact - Scientific Name"
"Irediparra gallinacea","Comb-crested Jacana","Irediparra gallinacea","Comb-crested Jacana","Exact - Scientific Name"
"Calidris pugnax","Ruff","Calidris pugnax","Ruff","Exact - Scientific Name"
"Calidris subruficollis","Buff-breasted Sandpiper","Calidris subruficollis","Buff-breasted Sandpiper","Exact - Scientific Name"
"Turnix pyrrhothorax","Red-chested Button-quail","Turnix pyrrhothorax","Red-chested Button-quail","Exact - Scientific Name"
"Stiltia isabella","Australian Pratincole","Stiltia isabella","Australian Pratincole","Exact - Scientific Name"
"Gelochelidon macrotarsa","Australian Gull-billed Tern","Gelochelidon macrotarsa","Australian Gull-billed Tern","Exact - Scientific Name"
"Ixobrychus flavicollis","Black Bittern","Ixobrychus flavicollis","Black Bittern","Exact - Scientific Name"
"Polytelis swainsonii","Superb Parrot","Polytelis swainsonii","Superb Parrot","Exact - Scientific Name"
"Melopsittacus undulatus","Budgerigar","Melopsittacus undulatus","Budgerigar","Exact - Scientific Name"
"Struthidea cinerea","Apostlebird","Struthidea cinerea","Apostlebird","Exact - Scientific Name"
"Cairina moschata","Muscovy Duck","Cairina moschata","Muscovy Duck","Exact - Scientific Name"
"Aythya australis","Hardhead","Aythya (Nyroca) australis","Hardhead","Exact - Common Name"
"Anas superciliosa","Pacific Black Duck","Anas (Anas) superciliosa","Pacific Black Duck","Exact - Common Name"
"Anas castanea","Chestnut Teal","Anas (Nettion) castanea","Chestnut Teal","Exact - Common Name"
"Coturnix pectoralis","Stubble Quail","Coturnix (Coturnix) pectoralis","Stubble Quail","Exact - Common Name"
"Synoicus ypsilophorus","Brown Quail","Synoicus ypsilophora","Brown Quail","Exact - Common Name"
"Synoicus ypsilophorus","Brown Quail","Coturnix ypsilophora australis","Brown Quail","Exact - Common Name"
"Columba livia","Rock Dove","Columba (Columba) livia","Rock Dove","Exact - Common Name"
"Columba leucomela","White-headed Pigeon","Columba (Janthoenas) leucomela","White-headed Pigeon","Exact - Common Name"
"Phaps chalcoptera","Common Bronzewing","Phaps (Phaps) chalcoptera","Common Bronzewing","Exact - Common Name"
"Phaps elegans","Brush Bronzewing","Phaps (Phaps) elegans","Brush Bronzewing","Exact - Common Name"
"Cacomantis flabelliformis","Fan-tailed Cuckoo","Cacomantis (Vidgenia) flabelliformis","Fan-tailed Cuckoo","Exact - Common Name"
"Cacomantis variolosus","Brush Cuckoo","Cacomantis (Cacomantis) variolosus","Brush Cuckoo","Exact - Common Name"
"Eurostopodus mystacalis","White-throated Nightjar","Eurostopodus (Eurostopodus) mystacalis","White-throated Nightjar","Exact - Common Name"
