"names_and_lsid","Species Name","Scientific Name Authorship","Taxon Rank","Kingdom","Phylum","Class","Order","Family","Genus","Vernacular Name","Number of records","Republic of Korea-Australia Migratory Bird Agreement (ROKAMBA)","South Australia : Conservation Status","China-Australia Migratory Bird Agreement (CAMBA)","Bonn Convention Migratory Taxa","Victoria : Conservation Status","Japan-Australia Migratory Bird Agreement (JAMBA)","Australian Capital Territory : Conservation Status","Tasmania : Conservation Status","Queensland : Conservation Status","EPBC Act Threatened Species","Northern Territory : Conservation Status","New South Wales : Conservation Status","Western Australia : Conservation status","Western Australia : Conservation status: Priority 4","WA State Notifiable Pests"
"Fulica atra|https://biodiversity.org.au/afd/taxa/bb53b420-0a1f-4a49-9d1e-2a6154c685a8|Eurasian Coot|Animalia|Rallidae","Fulica atra","Linnaeus, 1758","species","Animalia","Chordata","Aves","Gruiformes","Rallidae","Fulica","Eurasian Coot","68","","","","","","","","","","","","","","",""
"Streptopelia|https://biodiversity.org.au/afd/taxa/289c774f-2034-43d3-babc-393cd42802c2||Animalia|Columbidae","Streptopelia","Bonaparte, 1855","genus","Animalia","Chordata","Aves","Columbiformes","Columbidae","Streptopelia","","66","","","","","","","","","","","","","","",""
"Columba (Janthoenas) leucomela|https://biodiversity.org.au/afd/taxa/4d778324-90c1-4be4-8c4d-986a970bd36c|White-headed Pigeon|Animalia|Columbidae","Columba (Janthoenas) leucomela","Temminck, 1821","species","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","White-headed Pigeon","63","","","","","","","","","","","","","","",""
"Aquila (Uroaetus) audax|https://biodiversity.org.au/afd/taxa/23e2ccef-06b0-4749-abc6-d8a710b94f69|Wedge-tailed Eagle|Animalia|Accipitridae","Aquila (Uroaetus) audax","(Latham, 1801)","species","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Wedge-tailed Eagle","61","","","","","","","","Endangered","","","","","","",""
"Phaps (Phaps) elegans|https://biodiversity.org.au/afd/taxa/aac06d61-b8b3-4988-9483-3455b96c4a15|Brush Bronzewing|Animalia|Columbidae","Phaps (Phaps) elegans","(Temminck, 1809)","species","Animalia","Chordata","Aves","Columbiformes","Columbidae","Phaps","Brush Bronzewing","58","","","","","","","","","","","","","","Rare, Near Threatened",""
"Accipiter (Paraspizias) cirrocephalus|https://biodiversity.org.au/afd/taxa/02725816-5d59-41e1-aa00-f7cc41cd66dc|Collared Sparrowhawk|Animalia|Accipitridae","Accipiter (Paraspizias) cirrocephalus","(Vieillot, 1817)","species","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Collared Sparrowhawk","56","","","","","","","","Endangered","","","","","","",""
"Hydroprogne caspia|https://biodiversity.org.au/afd/taxa/da1e1bf2-3684-4eea-b579-1d83507c020d|Caspian Tern|Animalia|Laridae","Hydroprogne caspia","(Pallas, 1770)","species","Animalia","Chordata","Aves","Charadriiformes","Laridae","Hydroprogne","Caspian Tern","54","","","","","Vulnerable","Listed","","","","","","","Migratory","",""
"Vanellus (Lobipluvia) miles novaehollandiae|https://biodiversity.org.au/afd/taxa/7e9a2f99-048b-4ebb-8727-b322d72d3f63|Southern Masked Lapwing|Animalia|Charadriidae","Vanellus (Lobipluvia) miles novaehollandiae","(Stephens, 1819)","subspecies","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Vanellus","Southern Masked Lapwing","53","","","","","","","","","","","","","","",""
"Dicaeum (Dicaeum) hirundinaceum|https://biodiversity.org.au/afd/taxa/8f2d4aeb-50eb-438f-a145-5f12e356ffd8|Mistletoebird|Animalia|Dicaeidae","Dicaeum (Dicaeum) hirundinaceum","(Shaw, 1792)","species","Animalia","Chordata","Aves","Passeriformes","Dicaeidae","Dicaeum","Mistletoebird","49","","","","","","","","","","","","","","",""
"Falco (Tinnunculus) cenchroides|https://biodiversity.org.au/afd/taxa/8f6b91ae-4019-490c-a133-73acb05d25e8|Nankeen Kestrel|Animalia|Falconidae","Falco (Tinnunculus) cenchroides","Vigors & Horsfield, 1827","species","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Nankeen Kestrel","49","","","","","","","","","","","","","","",""
