"names_and_lsid","Species Name","Scientific Name Authorship","Taxon Rank","Kingdom","Phylum","Class","Order","Family","Genus","Vernacular Name","Number of records","Republic of Korea-Australia Migratory Bird Agreement (ROKAMBA)","South Australia : Conservation Status","Bonn Convention Migratory Taxa","China-Australia Migratory Bird Agreement (CAMBA)","Victoria : Conservation Status","Japan-Australia Migratory Bird Agreement (JAMBA)","Australian Capital Territory : Conservation Status","Tasmania : Conservation Status","Queensland : Conservation Status","EPBC Act Threatened Species","Northern Territory : Conservation Status","New South Wales : Conservation Status","Western Australia : Conservation status","Western Australia : Conservation status: Priority 4","WA State Notifiable Pests"
"Ptilinopus regina regina|https://biodiversity.org.au/afd/taxa/a04d5fdb-d5b8-41e7-ba42-0d87e8b04e25|Eastern Rose-crowned Fruit-dove|Animalia|Columbidae","Ptilinopus regina regina","Swainson, 1825","subspecies","Animalia","Chordata","Aves","Columbiformes","Columbidae","Ptilinopus","Eastern Rose-crowned Fruit-dove","416","","","","","","","","","","","","Vulnerable","","",""
"Pycnonotus|https://biodiversity.org.au/afd/taxa/4f56e544-2c91-4e09-b356-4d96c20004b4||Animalia|Pycnonotidae","Pycnonotus","Boie, 1826","genus","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","Pycnonotus","","416","","","","","","","","","","","","","","",""
"Fregetta grallaria grallaria|https://biodiversity.org.au/afd/taxa/9247668f-abad-4aee-b7ca-9c8974351537|Tasman White-bellied Storm-petrel|Animalia|Oceanitidae","Fregetta grallaria grallaria","(Vieillot, 1818)","subspecies","Animalia","Chordata","Aves","Procellariiformes","Oceanitidae","Fregetta","Tasman White-bellied Storm-petrel","415","","","","","","","","","","","","Vulnerable","","",""
"Platycercus (Violania) adscitus palliceps|https://biodiversity.org.au/afd/taxa/8077d37d-f0fa-40e1-9d6b-a47946c35b49|Southern Pale-headed Rosella|Animalia|Psittacidae","Platycercus (Violania) adscitus palliceps","Lear, 1832","subspecies","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Platycercus","Southern Pale-headed Rosella","414","","","","","","","","","","","","","","",""
"Diomedea|https://biodiversity.org.au/afd/taxa/0799bc60-43d2-4812-be41-e08dd1fbb954||Animalia|Diomedeidae","Diomedea","Linnaeus, 1758","genus","Animalia","Chordata","Aves","Procellariiformes","Diomedeidae","Diomedea","","412","","","","","","","","","","","","","","",""
"Limosa|https://biodiversity.org.au/afd/taxa/0130b124-5ea0-4881-9724-30e94e3ded55||Animalia|Scolopacidae","Limosa","Brisson, 1760","genus","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Limosa","","412","","","","","","","","","","","","","","",""
"Probosciger aterrimus macgillivrayi|https://biodiversity.org.au/afd/taxa/53bdaf8f-d7f9-44bb-9c25-53f2232a83bc|Australian Palm Cockatoo|Animalia|Cacatuidae","Probosciger aterrimus macgillivrayi","(Mathews, 1912)","subspecies","Animalia","Chordata","Aves","Psittaciformes","Cacatuidae","Probosciger","Australian Palm Cockatoo","410","","","","","","","","","","","","","","",""
"Lichmera (Lichmera) indistincta ocularis|https://biodiversity.org.au/afd/taxa/3e4fbaf8-9867-49e7-900e-6d70a8eb6bf9|Eastern Brown Honeyeater|Animalia|Meliphagidae","Lichmera (Lichmera) indistincta ocularis","(Gould, 1838)","subspecies","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Lichmera","Eastern Brown Honeyeater","409","","","","","","","","","","","","","","",""
"Cracticus nigrogularis picatus|https://biodiversity.org.au/afd/taxa/07e5ba11-bc5d-47d9-9430-1970a0b27e41|Western Pied Butcherbird|Animalia|Artamidae","Cracticus nigrogularis picatus","Gould, 1848","subspecies","Animalia","Chordata","Aves","Passeriformes","Artamidae","Cracticus","Western Pied Butcherbird","408","","","","","","","","","","","","","","",""
"Onychoprion|https://biodiversity.org.au/afd/taxa/3cf8e49b-1c9d-4167-b1f2-afb35053dab0||Animalia|Laridae","Onychoprion","Wagler, 1832","genus","Animalia","Chordata","Aves","Charadriiformes","Laridae","Onychoprion","","407","","","","","","","","","","","","","","",""
"Smicrornis brevirostris occidentalis|https://biodiversity.org.au/afd/taxa/c1a3af29-e6e8-4690-b32a-350e44fa3159|Southern Weebill|Animalia|Acanthizidae","Smicrornis brevirostris occidentalis","Bonaparte, 1850","subspecies","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Smicrornis","Southern Weebill","404","","","","","","","","","","","","","","",""
"PACHYCEPHALIDAE|https://biodiversity.org.au/afd/taxa/06ca1aeb-fff8-49a3-92a4-c7a5df21d339||Animalia|Pachycephalidae","PACHYCEPHALIDAE","Swainson, 1831","family","Animalia","Chordata","Aves","Passeriformes","Pachycephalidae","","","402","","","","","","","","","","","","","","",""
"Acanthiza (Geobasileus) chrysorrhoa leighi|https://biodiversity.org.au/afd/taxa/d9a250eb-18b3-4041-9116-ca6b9fe49697|South-eastern Yellow-rumped Thornbill|Animalia|Acanthizidae","Acanthiza (Geobasileus) chrysorrhoa leighi","Ogilvie-Grant, 1909","subspecies","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Acanthiza","South-eastern Yellow-rumped Thornbill","401","","","","","","","","","","","","","","",""
"Rhipidura (Sauloprocta) leucophrys picata|https://biodiversity.org.au/afd/taxa/77a9c2b9-748b-457f-9c05-fcbfd55adde9|Northern Willie Wagtail|Animalia|Rhipiduridae","Rhipidura (Sauloprocta) leucophrys picata","Gould, 1848","subspecies","Animalia","Chordata","Aves","Passeriformes","Rhipiduridae","Rhipidura","Northern Willie Wagtail","401","","","","","","","","","","","","","","",""
"Aythya|https://biodiversity.org.au/afd/taxa/0dee1ff6-f5ad-4801-bb7b-5d0c8d93bec1||Animalia|Anatidae","Aythya","Boie, 1822","genus","Animalia","Chordata","Aves","Anseriformes","Anatidae","Aythya","","400","","","","","","","","","","","","","","",""
"Poephila (Poephila) cincta atropygialis|https://biodiversity.org.au/afd/taxa/97d5a638-8419-4b14-8b7c-9d271a9883f3|Northern Black-throated Finch|Animalia|Estrildidae","Poephila (Poephila) cincta atropygialis","Diggles, 1876","subspecies","Animalia","Chordata","Aves","Passeriformes","Estrildidae","Poephila","Northern Black-throated Finch","400","","","","","","","","","","","","","","",""
"Eclectus|https://biodiversity.org.au/afd/taxa/98bc08a6-5299-49cf-b676-91f9791aaac4||Animalia|Psittacidae","Eclectus","Wagler, 1832","genus","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Eclectus","","399","","","","","","","","","","","","","","",""
"Eudyptes pachyrhynchus|https://biodiversity.org.au/afd/taxa/3418d2c5-3280-44b4-a146-730438a5255f|Fiordland Penguin|Animalia|Spheniscidae","Eudyptes pachyrhynchus","G.R. Gray & Sharpe, 1845","species","Animalia","Chordata","Aves","Sphenisciformes","Spheniscidae","Eudyptes","Fiordland Penguin","391","","","","","","","","","","","","","","",""
"Acanthiza (Acanthiza) pusilla diemenensis|https://biodiversity.org.au/afd/taxa/c97e7d4b-9920-428e-b4ca-8497ccd6b7c3|Tasmanian Brown Thornbill|Animalia|Acanthizidae","Acanthiza (Acanthiza) pusilla diemenensis","Gould, 1838","subspecies","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Acanthiza","Tasmanian Brown Thornbill","390","","","","","","","","","","","","","","",""
"Limosa limosa melanuroides|https://biodiversity.org.au/afd/taxa/a9bbbda2-2585-4efe-bed8-3a57d42ae377|Eastern Black-tailed Godwit|Animalia|Scolopacidae","Limosa limosa melanuroides","Gould, 1846","subspecies","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Limosa","Eastern Black-tailed Godwit","387","Listed","","Listed","Listed","Critically Endangered","Listed","","","Endangered","Endangered","","Vulnerable","Migratory","",""
"Psophodes (Phodopses) leucogaster lashmari|https://biodiversity.org.au/afd/taxa/55e18d27-0d27-4dde-91e2-95c4f5ff4e28|Kangaroo Island Western Whipbird|Animalia|Psophodidae","Psophodes (Phodopses) leucogaster lashmari","Schodde & Mason, 1991","subspecies","Animalia","Chordata","Aves","Passeriformes","Psophodidae","Psophodes","Kangaroo Island Western Whipbird","387","","","","","","","","","","","","","","",""
"Platycercus (Platycercus) elegans melanopterus|https://biodiversity.org.au/afd/taxa/7471a6a4-bdc4-4926-bcda-b9214faff8a0|Kangaroo Island Crimson Rosella|Animalia|Psittacidae","Platycercus (Platycercus) elegans melanopterus","North, 1906","subspecies","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Platycercus","Kangaroo Island Crimson Rosella","386","","","","","","","","","","","","","","",""
"Turdus|https://biodiversity.org.au/afd/taxa/0b5004b0-5d60-4ff3-8df4-50a575818734||Animalia|Turdidae","Turdus","Linnaeus, 1758","genus","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","","383","","","","","","","","","","","","","","",""
"Megapodius|https://biodiversity.org.au/afd/taxa/14d227d4-728d-43e9-9b8b-dd66fc845cee||Animalia|Megapodiidae","Megapodius","Gaimard, 1823","genus","Animalia","Chordata","Aves","Galliformes","Megapodiidae","Megapodius","","382","","","","","","","","","","","","","","",""
"Limosa lapponica menzbieri|https://biodiversity.org.au/afd/taxa/585f6243-c390-4f82-a844-f020c7b02675|Yakutian Bar-tailed Godwit|Animalia|Scolopacidae","Limosa lapponica menzbieri","Partenko, 1936","subspecies","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Limosa","Yakutian Bar-tailed Godwit","381","Listed","","Listed","Listed","Vulnerable","Listed","","","","","","","Migratory","",""
"Zanda|https://biodiversity.org.au/afd/taxa/e58de919-894d-4fa8-8d29-6f79afc0a322||Animalia|Cacatuidae","Zanda","Mathews, 1913","genus","Animalia","Chordata","Aves","Psittaciformes","Cacatuidae","Zanda","","380","","","","","","","","","","","","","","",""
"Acanthiza (Geobasileus) iredalei rosinae|https://biodiversity.org.au/afd/taxa/83063bdc-cc9b-4028-b664-35c7c0bc65d9|Samphire Thornbill|Animalia|Acanthizidae","Acanthiza (Geobasileus) iredalei rosinae","Mathews, 1913","subspecies","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","Acanthiza","Samphire Thornbill","379","","","","","","","","","","","","","","",""
"APODIFORMES|https://biodiversity.org.au/afd/taxa/38a7993c-3753-4846-abc4-c21dd0269f2c||Animalia|null","APODIFORMES","","order","Animalia","Chordata","Aves","Apodiformes","","","","378","","","","","","","","","","","","","","",""
"Ptilotula fusca fusca|https://biodiversity.org.au/afd/taxa/431759b1-6093-4e06-bd8b-1d25dce97b0e|Southern Fuscous Honeyeater|Animalia|Meliphagidae","Ptilotula fusca fusca","(Gould, 1837)","subspecies","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","Ptilotula","Southern Fuscous Honeyeater","375","","","","","","","","","","","","","","",""
"Petrochelidon (Hylochelidon) nigricans neglecta|https://biodiversity.org.au/afd/taxa/8ae79df8-d564-41de-a8ec-8d8e40a0e9fa|Mainland Tree Martin|Animalia|Hirundinidae","Petrochelidon (Hylochelidon) nigricans neglecta","Mathews, 1912","subspecies","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Petrochelidon","Mainland Tree Martin","372","","","","","","","","","","","","","","",""
"Amaurornis phoenicurus|https://biodiversity.org.au/afd/taxa/7f53f4af-5294-41ae-b4bf-2a3c211b9c4e|White-breasted Waterhen|Animalia|Rallidae","Amaurornis phoenicurus","(Pennant, 1769)","species","Animalia","Chordata","Aves","Gruiformes","Rallidae","Amaurornis","White-breasted Waterhen","367","","","","","","","","","","","","","","",""
